"Photon energy, eV","n","k"
0.02000003023504641,94.075,160.42
0.020562589132463133,91.521,158.2
0.02114111575096336,88.998,155.99
0.02173597718011601,86.508,153.78
0.022347546401063397,84.05,151.59
0.02297620314908634,81.626,149.39
0.02362278506870529,79.235,147.21
0.02428729013949337,76.879,145.03
0.02497063309294685,74.558,142.85
0.02567332479512553,72.273,140.68
0.026395339230413803,70.025,138.51
0.02713833284443806,67.814,136.35
0.02790174350371314,65.641,134.19
0.02868676247873663,63.506,132.04
0.02949336015821393,61.411,129.89
0.030323620572088858,59.356,127.75
0.031176872720051225,57.342,125.61
0.032053823017864455,55.369,123.48
0.03295523561562376,53.437,121.36
0.033882867138472814,51.548,119.24
0.03483582575176301,49.702,117.13
0.0358159827348123,47.899,115.03
0.03682334049097111,46.139,112.94
0.037860079221051585,44.423,110.86
0.038925087100684326,42.751,108.79
0.040020718990671306,41.123,106.73
0.041145650095609373,39.54,104.68
0.04230387178691815,38,102.65
0.04349406701504936,36.505,100.63
0.04471766119638596,35.054,98.622
0.04597626262954712,33.648,96.631
0.04726988731293596,32.284,94.658
0.04859838014781268,30.965,92.701
0.04996743135981128,29.688,90.763
0.05137324415061727,28.454,88.844
0.05281766526075646,27.261,86.944
0.05430281509858957,26.111,85.066
0.05583112866803247,25.001,83.208
0.05740274430904195,23.932,81.373
0.0590176063561975,22.902,79.561
0.06067840622184687,21.91,77.772
0.06238511997237583,20.957,76.007
0.06414081088106556,20.041,74.267
0.06594552812781221,19.161,72.552
0.06779908537928568,18.316,70.863
0.06970886508101862,17.506,69.199
0.0716671603659536,16.73,67.562
0.07368607359627939,15.986,65.952
0.07575717183985074,15.274,64.368
0.07788929980719922,14.592,62.812
0.08008279772193497,13.94,61.283
0.08233228463583221,13.317,59.782
0.08464817876227194,12.722,58.308
0.08703087704134474,12.154,56.862
0.0894805047871678,11.611,55.444
0.09199687425473006,11.094,54.053
0.09458665504508675,10.601,52.69
0.0972501274085024,10.131,51.355
0.09997918509241167,9.6831,50.046
0.10279760171884562,9.2568,48.765
0.10568935933262272,8.851,47.511
0.10866274095801903,8.4651,46.283
0.11171759545242359,8.098,45.083
0.11486398687520818,7.7492,43.908
0.1180914253101245,7.4177,42.759
0.12141028929994097,7.1029,41.636
0.12483179532334522,6.8041,40.539
0.12834403427750662,6.5205,39.466
0.13195562685117948,6.2515,38.418
0.1356679076389676,5.9964,37.394
0.13948517492220427,5.7546,36.395
0.14340892653183704,5.5256,35.418
0.14744400270320698,5.3087,34.465
0.15159214974458318,5.1034,33.535
0.15585692951992422,4.9091,32.627
0.1602421871106196,4.7254,31.74
0.16474990357326952,4.5517,30.876
0.1693865613327227,4.3877,30.032
0.17415221641607984,4.2328,29.209
0.17905146571319186,4.0866,28.406
0.18408936515679244,3.9487,27.624
0.1892686085961801,3.8187,26.86
0.1945918346277952,3.6963,26.116
0.20006807608897664,3.5811,25.39
0.20569753203334668,3.4728,24.682
0.2114832794887929,3.371,23.992
0.21743219710480113,3.2754,23.32
0.22355202292259374,3.1858,22.665
0.22983869834105686,3.1019,22.026
